items,freq
Organic Baby Broccoli,1351
Unsweetened Vanilla Almond Milk,1248
2% Reduced Fat Milk,1540
Feta Cheese Crumbles,1449
Organic Broccoli Crowns,804
Lime Sparkling Water,1966
Red Vine Tomato,2234
Sparkling Natural Mineral Water,1803
Sour Cream,1022
Total Greek Strained Yogurt,951
Organic Blueberries,4966
"Organic Blueberries,Organic Strawberries",1269
"Organic Blueberries,Bag of Organic Bananas",1137
"Organic Blueberries,Organic Raspberries",694
"Organic Blueberries,Organic Baby Spinach",686
"Organic Blueberries,Banana",925
Organic Half & Half,2646
Bag of Organic Bananas,15480
Organic Red Onion,3818
"Organic Red Onion,Limes",660
"Organic Red Onion,Large Lemon",665
"Organic Red Onion,Bag of Organic Bananas",805
"Organic Red Onion,Organic Baby Spinach",741
"Organic Red Onion,Banana",659
Small Hass Avocado,3103
"Small Hass Avocado,Banana",865
Original Orange Juice,1054
Total 0% Nonfat Greek Yogurt,993
Organic Cripps Pink Apples,730
Vine Ripe Tomatoes,708
Green Onions,1445
Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,1342
Organic Tomato Basil Pasta Sauce,772
Organic Raw Kombucha Gingerade,855
Pretzel Crisps Original Deli Style Pretzel Crackers,753
Organic Egg Whites,834
Medium Navel Orange,796
"Flat Parsley, Bunch",658
Organic Reduced Fat 2% Milk,1535
Natural Spring Water,950
Organic Baby Rainbow Carrots,914
Original Veggie Straws,684
Organic Basil,1222
100% Recycled Paper Towels,1183
Organic Large Brown Grade AA Cage Free Eggs,1137
Classic Hummus,694
Organic Whole Milk,4908
"Organic Whole Milk,Organic Strawberries",954
"Organic Whole Milk,Bag of Organic Bananas",1118
"Organic Whole Milk,Organic Baby Spinach",675
"Organic Whole Milk,Banana",1044
Uncured Genoa Salami,1788
Spring Water,2225
Michigan Organic Kale,2627
Broccoli Crown,2932
"Broccoli Crown,Banana",925
Organic Italian Parsley Bunch,2400
Yellow Onions,3762
"Yellow Onions,Large Lemon",747
"Yellow Onions,Banana",1071
Organic Strawberries,10894
"Organic Strawberries,Bag of Organic Bananas",3074
"Organic Strawberries,Banana",2174
Roma Tomato,1953
Creamy Peanut Butter,991
Watermelon Chunks,854
Shredded Mozzarella,944
Organic Shredded Carrots,830
Sea Salt Pita Chips,707
Sugar Snap Peas,657
Italian Sparkling Mineral Water,1132
Organic Large Grade AA Brown Eggs,1052
Organic Old Fashioned Rolled Oats,747
Organic Large Green Asparagus,730
Organic Russet Potato,1174
Peach Pear Flavored Sparkling Water,899
Seedless Cucumbers,693
Sparkling Water,673
Distilled Water,793
Organic Large Grade A Brown Eggs,769
Organic Red Bell Pepper,2393
Organic Unsweetened Almond Milk,2176
Organic Baby Carrots,3597
"Organic Baby Carrots,Organic Strawberries",693
"Organic Baby Carrots,Bag of Organic Bananas",825
"Organic Baby Carrots,Banana",739
Organic Baby Spinach,9784
"Organic Baby Spinach,Organic Strawberries",1639
"Organic Baby Spinach,Bag of Organic Bananas",2236
"Organic Baby Spinach,Banana",2000
Organic Cucumber,4613
"Organic Cucumber,Organic Strawberries",1032
"Organic Cucumber,Large Lemon",670
"Organic Cucumber,Bag of Organic Bananas",1268
"Organic Cucumber,Organic Baby Spinach",933
"Organic Cucumber,Organic Hass Avocado",831
"Organic Cucumber,Banana",831
Grape White/Green Seedless,1527
Unsalted Butter,1435
Whole Milk,1335
Organic Grade A Free Range Large Brown Eggs,1767
Organic Baby Arugula,2923
Organic Small Bunch Celery,2623
Organic Roma Tomato,1221
Garlic,1920
Organic Riced Cauliflower,823
Roasted Red Pepper Hummus,791
Creamy Almond Butter,850
Mango Chunks,746
Oven Roasted Turkey Breast,897
Honeycrisp Apples,670
Pure Coconut Water,729
Organic Tomato Paste,707
Organic Leek,764
Organic Yellow Peaches,692
Soda,1507
Sparkling Lemon Water,1423
Unsweetened Almondmilk,2169
Bunched Cilantro,1920
Organic Sour Cream,1047
Organic Garnet Sweet Potato (Yam),2568
Organic Granny Smith Apple,2337
Pure Sparkling Water,1125
Large Lemon,8135
"Large Lemon,Organic Strawberries",1017
"Large Lemon,Bag of Organic Bananas",1057
"Large Lemon,Organic Baby Spinach",1238
"Large Lemon,Banana",2158
Organic Zucchini,4589
"Organic Zucchini,Organic Strawberries",751
"Organic Zucchini,Large Lemon",736
"Organic Zucchini,Bag of Organic Bananas",1041
"Organic Zucchini,Organic Baby Spinach",950
"Organic Zucchini,Banana",939
Lightly Salted Baked Snap Pea Crisps,991
Yellow Bell Pepper,1166
Boneless Skinless Chicken Breast,943
Honeycrisp Apple,3551
"Honeycrisp Apple,Banana",1231
Red Peppers,2905
"Red Peppers,Banana",838
Shredded Parmesan,1324
Organic Lacinato (Dinosaur) Kale,1761
Fat Free Milk,1220
Russet Potato,1418
Organic Cilantro,3526
"Organic Cilantro,Limes",1007
"Organic Cilantro,Bag of Organic Bananas",714
100% Raw Coconut Water,1298
Organic Roasted Turkey Breast,1123
Green Beans,1160
Lemonade,791
Organic White Onions,850
Organic Carrot Bunch,1742
Red Raspberries,1493
Sustainably Soft Bath Tissue,821
Organic Bell Pepper,943
Spinach,878
Organic Banana,2332
Boneless Skinless Chicken Breasts,2088
Jalapeno Peppers,1899
Organic Tomato Cluster,2538
Organic Large Extra Fancy Fuji Apple,2891
"Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas",973
Total 0% Greek Yogurt,1046
Honey Nut Cheerios,1218
Romaine Hearts,988
Organic Avocado,7409
"Organic Avocado,Organic Strawberries",1088
"Organic Avocado,Large Lemon",1349
"Organic Avocado,Bag of Organic Bananas",1070
"Organic Avocado,Organic Baby Spinach",1402
"Organic Avocado,Banana",2216
Organic Yellow Onion,4290
"Organic Yellow Onion,Organic Strawberries",671
"Organic Yellow Onion,Bag of Organic Bananas",1000
"Organic Yellow Onion,Organic Baby Spinach",748
"Organic Yellow Onion,Organic Hass Avocado",731
"Organic Yellow Onion,Banana",679
Organic Bosc Pear,706
Iceberg Lettuce,728
Original Nooks & Crannies English Muffins,669
Reduced Fat 2% Milk,763
Organic Unsalted Butter,743
"Cage Free Brown Eggs-Large, Grade A",690
Berry Medley,667
Water,689
Extra Virgin Olive Oil,2068
Original No Pulp 100% Florida Orange Juice,819
Organic Mint,742
Organic Medium Salsa,723
"Clementines, Bag",1478
Granny Smith Apples,1379
Heavy Whipping Cream,878
Organic Jalapeno Pepper,850
Organic Bartlett Pear,980
Whipped Cream Cheese,1078
Organic Bread with 21 Whole Grains,938
Organic Coconut Milk,1045
Fresh Ginger Root,1284
Cantaloupe,1215
Organic Romaine Lettuce,1154
Organic Green Cabbage,785
Organic Creamy Peanut Butter,760
Large Alfresco Eggs,1898
Grated Parmesan,1694
Icelandic Style Skyr Blueberry Non-fat Yogurt,705
Organic Garlic,4158
"Organic Garlic,Organic Yellow Onion",850
"Organic Garlic,Large Lemon",780
"Organic Garlic,Bag of Organic Bananas",912
"Organic Garlic,Organic Baby Spinach",822
"Organic Garlic,Organic Hass Avocado",657
"Organic Garlic,Banana",714
Green Bell Pepper,2521
Blueberries,2323
"Blueberries,Banana",716
Organic Lemon,3505
"Organic Lemon,Organic Strawberries",677
"Organic Lemon,Bag of Organic Bananas",1067
"Organic Lemon,Organic Hass Avocado",781
Original Hummus,2858
Organic Hass Avocado,7293
"Organic Hass Avocado,Organic Strawberries",1539
"Organic Hass Avocado,Organic Strawberries,Bag of Organic Bananas",710
"Organic Hass Avocado,Large Lemon",733
"Organic Hass Avocado,Bag of Organic Bananas",2420
"Organic Hass Avocado,Organic Baby Spinach",1252
"Organic Hass Avocado,Banana",947
"Organic Red Radish, Bunch",1041
Total 2% with Strawberry Lowfat Greek Strained Yogurt,973
Organic Thyme,665
Organic Butternut Squash,715
Organic Yams,704
Organic Romaine,1152
Blackberries,1077
Vanilla Almond Breeze Almond Milk,1277
Vanilla Skyr Nonfat Yogurt,757
Sourdough Bread,738
Organic 2% Reduced Fat Milk,931
Organic Grade A Large Brown Eggs,874
Electrolyte Enhanced Water,847
Organic Whole Strawberries,1213
Organic Fat Free Milk,811
Shallot,778
Frozen Broccoli Florets,687
Seedless Red Grapes,4059
"Seedless Red Grapes,Organic Strawberries",772
"Seedless Red Grapes,Bag of Organic Bananas",778
"Seedless Red Grapes,Banana",1162
Organic Spring Mix,1362
Strawberries,6494
"Strawberries,Large Lemon",671
"Strawberries,Bag of Organic Bananas",777
"Strawberries,Banana",1948
Organic Broccoli,1653
Pure Irish Butter,1476
Organic D'Anjou Pears,1893
Carrots,2497
100% Whole Wheat Bread,2298
Sparkling Water Grapefruit,3359
"Sparkling Water Grapefruit,Banana",665
Organic Blackberries,2843
"Organic Blackberries,Banana",690
Organic Ginger Root,2007
Hass Avocados,2276
Organic Whole String Cheese,1993
Pineapple Chunks,1077
Organic Gala Apples,2809
"Organic Gala Apples,Bag of Organic Bananas",810
"Organic Gala Apples,Banana",666
Organic Peeled Whole Baby Carrots,2460
Limes,6033
"Limes,Organic Strawberries",817
"Limes,Organic Avocado",1037
"Limes,Large Lemon",1595
"Limes,Bag of Organic Bananas",932
"Limes,Organic Baby Spinach",939
"Limes,Organic Hass Avocado",786
"Limes,Banana",1331
Asparagus,3868
"Asparagus,Large Lemon",702
"Asparagus,Bag of Organic Bananas",728
"Asparagus,Organic Baby Spinach",699
"Asparagus,Banana",793
Brussels Sprouts,1149
Raspberries,3279
"Raspberries,Strawberries",658
Red Onion,1468
Hass Avocado,1633
Bartlett Pears,1207
Organic Broccoli Florets,1361
Organic Kiwi,1880
Sharp Cheddar Cheese,1262
Large Grapefruit,845
Gala Apples,959
Total 2% All Natural Greek Strained Yogurt with Honey,810
Shredded Mild Cheddar Cheese,1036
White Onion,873
Unsalted Pure Irish Butter,736
Roasted Turkey Breast,928
Sparkling Mineral Water,686
Organic Mexican Blend Finely Shredded Cheese,664
Organic Spring Mix Salad,777
Sparkling Water Berry,714
Marinara Sauce,754
Basil Pesto,699
